original_title,budget,runtime,original_language,release_date
Poison Ivy II: Lily,0,106.0,en,1996-01-16
Powder,0,111.0,en,1995-10-27
Priest,0,98.0,en,1994-01-01
Pulp Fiction,8000000,154.0,en,1994-09-10
Pushing Hands,400000,105.0,zh,1992-02-01
Quiz Show,0,133.0,en,1994-09-16
Race the Sun,0,100.0,en,1996-03-22
Reckless,0,91.0,en,1995-11-17
Restoration,19000000,117.0,en,1995-12-29
Richard III,0,104.0,en,1995-12-29
Rob Roy,28000000,139.0,en,1995-04-13
Sabrina,58000000,127.0,en,1995-12-15
Safe,0,119.0,en,1995-06-23
Screamers,20000000,108.0,en,1995-09-08
Se7en,33000000,127.0,en,1995-09-22
Sense and Sensibility,16500000,136.0,en,1995-12-13
Shopping,0,105.0,en,1994-12-06
Showgirls,45000000,128.0,en,1995-09-22
Smoke,7000000,112.0,en,1995-06-09
Something to Talk About,0,106.0,en,1995-08-04
Sonic Outlaws,0,87.0,en,1995-08-01
Species,35000000,108.0,en,1995-07-07
Star Wars,11000000,121.0,en,1977-05-25
Steal Big Steal Little,25000000,113.0,en,1995-09-29
Strange Days,42000000,145.0,en,1995-10-13
Sudden Death,35000000,106.0,en,1995-12-22
Target,0,122.0,en,1995-08-01
Taxi Driver,1300000,114.0,en,1976-02-07
The Addiction,0,82.0,en,1995-01-10
The Amazing Panda Adventure,0,81.0,en,1995-08-25
The American President,62000000,106.0,en,1995-11-17
The Babysitter,0,90.0,en,1995-10-17
The Basketball Diaries,0,102.0,en,1995-04-21
The Big Green,0,100.0,en,1995-09-29
The Birdcage,31000000,117.0,en,1996-03-08
The Boys of St. Vincent,0,90.0,en,1992-12-06
The Bridges of Madison County,24000000,135.0,en,1995-05-28
The Brothers McMullen,0,98.0,en,1995-08-09
The Browning Version,0,97.0,en,1994-10-12
The Crossing Guard,0,111.0,en,1995-11-15
The Cure,0,97.0,en,1995-04-21
The Doom Generation,0,80.0,en,1995-10-27
The Glass Shield,0,109.0,en,1994-09-16
The Hunted,0,106.0,en,1995-02-24
The Indian in the Cupboard,45000000,96.0,en,1995-07-14
The Jerky Boys,0,82.0,en,1995-02-03
The Journey of August King,0,91.0,en,1995-09-14
The Juror,44000000,118.0,en,1996-02-02
The Madness of King George,0,107.0,en,1994-12-28
The Neon Bible,0,91.0,en,1995-08-23
The Net,22000000,114.0,en,1995-07-28
The NeverEnding Story III,17000000,95.0,en,1994-10-26
The Perez Family,11000000,113.0,en,1995-05-12
The Prophecy,8,98.0,en,1995-09-01
The Quick and the Dead,32000000,107.0,en,1995-02-09
The Scarlet Letter,50000000,135.0,en,1995-10-13
The Show,0,93.0,en,1995-08-25
The Stars Fell on Henrietta,0,109.0,en,1995-09-15
The Tie That Binds,14000000,99.0,en,1995-09-08
The Usual Suspects,6000000,106.0,en,1995-07-19
The Young Poisoner's Handbook,0,99.0,en,1995-01-20
Things to Do in Denver When You're Dead,8000000,116.0,en,1995-12-01
Three Wishes,0,115.0,en,1995-10-27
To Die For,20000000,106.0,en,1995-05-20
Tom and Huck,0,97.0,en,1995-12-22
Total Eclipse,0,111.0,en,1995-11-02
Toy Story,30000000,81.0,en,1995-10-30
Twelve Monkeys,29500000,129.0,en,1995-12-29
Two Bits,0,85.0,en,1995-10-22
Two If by Sea,0,96.0,en,1996-01-12
Under Siege 2: Dark Territory,60000000,100.0,en,1995-07-13
Unforgettable,18000000,106.0,en,1996-02-23
Unstrung Heroes,0,93.0,en,1995-09-15
Unzipped,0,73.0,en,1995-08-11
Up Close & Personal,60000000,119.0,en,1996-03-01
Vampire in Brooklyn,14000000,100.0,en,1995-10-26
Waiting to Exhale,16000000,127.0,en,1995-12-22
Waterworld,175000000,135.0,en,1995-07-28
When Night Is Falling,0,96.0,en,1995-05-05
White Man's Burden,8000000,89.0,en,1995-12-01
White Squall,38000000,129.0,en,1996-02-02
Wild Bill,30000000,98.0,en,1995-12-01
صمت القصور,0,116.0,ar,1994-09-30
飲食男女,0,123.0,zh,1994-08-03
